step;lr;trainingloss;trainingppl
 3930;1.76; 5.16;  173.67
 3940;1.76; 4.97;  143.39
 3950;1.77; 5.06;  157.76
 3960;1.77; 5.16;  174.46
 3970;1.78; 4.99;  147.18
 3980;1.78; 5.21;  183.07
 3990;1.79; 5.25;  190.10
 4000;1.79; 5.06;  157.55
 4010;1.79; 5.07;  158.60
 4020;1.78; 5.03;  153.43
 4030;1.78; 5.11;  165.24
 4040;1.78; 5.20;  181.36
 4050;1.78; 5.11;  165.42
 4060;1.78; 5.00;  149.14
 4070;1.77; 4.99;  147.56
 4080;1.77; 5.04;  153.71
 4090;1.77; 5.00;  148.43
 4100;1.77; 5.10;  164.48
 4110;1.76; 5.07;  159.32
 4120;1.76; 5.13;  169.86
 4130;1.76; 5.08;  160.99
 4140;1.76; 5.08;  160.45
 4150;1.76; 4.99;  146.51
 4160;1.75; 5.01;  149.18
 4180;1.75; 5.54;  255.12
 4190;1.75; 5.05;  156.34
 4200;1.75; 5.02;  151.30
 4210;1.74; 5.09;  162.86
 4220;1.74; 5.07;  159.93
 4230;1.74; 5.04;  154.93
 4240;1.74; 4.95;  141.84
 4250;1.74; 5.12;  166.92
 4260;1.73; 5.13;  169.03
 4270;1.73; 5.14;  170.68
 4280;1.73; 5.05;  155.56
 4290;1.73; 4.94;  140.46
 4300;1.73; 5.01;  149.58
 4310;1.72; 5.10;  163.54
 4320;1.72; 5.08;  160.60
 4330;1.72; 5.08;  160.29
 4340;1.72; 5.03;  152.53
 4350;1.72; 5.13;  169.13
 4360;1.71; 5.11;  166.27
 4370;1.71; 4.90;  134.67
 4380;1.71; 4.95;  141.37
 4390;1.71; 5.07;  158.80
 4400;1.71; 5.06;  157.39
 4410;1.70; 5.11;  165.03
 4420;1.70; 4.90;  134.03
 4430;1.70; 5.03;  153.61
 4440;1.70; 5.04;  153.87
 4450;1.70; 4.93;  138.58
 4460;1.69; 5.03;  153.41
 4470;1.69; 5.11;  165.13
 4480;1.69; 4.94;  140.12
 4490;1.69; 5.04;  154.43
 4500;1.69; 5.03;  153.20
 4510;1.68; 5.04;  153.76
 4520;1.68; 4.99;  147.38
 4530;1.68; 5.10;  163.94
 4540;1.68; 5.13;  169.50
 4550;1.68; 5.14;  170.29
 4560;1.68; 5.18;  178.38
 4570;1.67; 5.00;  148.08
 4580;1.67; 5.05;  155.41
 4590;1.67; 5.01;  149.99
 4600;1.67; 4.91;  136.05
 4610;1.67; 4.99;  147.53
 4620;1.66; 5.00;  148.47
 4630;1.66; 5.04;  154.77
 4640;1.66; 5.10;  163.59
 4650;1.66; 5.05;  155.64
 4660;1.66; 4.92;  136.92
 4670;1.66; 4.97;  143.39
