step;lr;trainingloss;trainingppl
15970;0.90; 4.13;   62.28
15980;0.90; 4.07;   58.40
15990;0.89; 4.05;   57.39
16000;0.89; 4.14;   62.63
16010;0.89; 4.16;   63.99
16020;0.89; 4.14;   62.81
16030;0.89; 4.14;   63.02
16040;0.89; 4.08;   59.34
16050;0.89; 4.25;   69.78
16060;0.89; 4.23;   68.46
16070;0.89; 4.14;   62.65
16080;0.89; 4.10;   60.34
16090;0.89; 4.19;   66.20
16100;0.89; 4.16;   64.36
16110;0.89; 4.18;   65.47
16120;0.89; 4.10;   60.16
16130;0.89; 4.03;   56.25
16140;0.89; 4.06;   57.76
16150;0.89; 4.11;   61.18
16160;0.89; 4.25;   70.04
16170;0.89; 4.09;   59.78
16180;0.89; 4.06;   58.21
16190;0.89; 4.18;   65.48
16200;0.89; 4.18;   65.49
16210;0.89; 4.11;   61.06
16220;0.89; 4.26;   70.74
16230;0.89; 4.20;   66.36
16240;0.89; 4.13;   62.23
16250;0.89; 4.11;   60.80
16260;0.89; 4.07;   58.48
16270;0.89; 4.09;   59.47
16280;0.89; 4.17;   64.48
16290;0.89; 4.17;   64.80
16300;0.89; 4.14;   62.56
16310;0.89; 4.10;   60.30
16320;0.89; 3.99;   54.30
16330;0.89; 4.04;   56.68
16340;0.89; 3.94;   51.62
16350;0.88; 3.98;   53.66
16360;0.88; 4.15;   63.58
16370;0.88; 4.07;   58.67
16380;0.88; 4.15;   63.28
16390;0.88; 4.13;   62.16
16400;0.88; 4.26;   71.10
16410;0.88; 4.11;   60.74
16420;0.88; 4.14;   62.85
16430;0.88; 4.13;   61.94
16440;0.88; 4.21;   67.65
16450;0.88; 4.01;   55.09
16460;0.88; 4.07;   58.67
16470;0.88; 4.18;   65.29
16480;0.88; 4.06;   58.02
16490;0.88; 4.25;   69.93
16500;0.88; 4.32;   74.97
16510;0.88; 4.07;   58.80
16520;0.88; 4.11;   60.71
16530;0.88; 4.10;   60.36
16540;0.88; 4.12;   61.80
16550;0.88; 4.25;   69.86
16560;0.88; 4.13;   62.39
16570;0.88; 4.05;   57.36
16580;0.88; 4.07;   58.69
16590;0.88; 4.14;   63.11
16600;0.88; 4.07;   58.59
16610;0.88; 4.17;   64.66
16620;0.88; 4.16;   63.91
16630;0.88; 4.17;   64.43
16640;0.88; 4.16;   64.22
16650;0.88; 4.14;   63.01
16660;0.88; 4.07;   58.61
16670;0.88; 4.08;   59.28
16690;0.88; 4.54;   93.84
16700;0.88; 4.14;   62.52
16710;0.88; 4.16;   64.33
16720;0.88; 4.17;   64.90
16730;0.87; 4.16;   64.02
16740;0.87; 4.16;   63.99
16750;0.87; 4.05;   57.48
16760;0.87; 4.20;   66.91
16770;0.87; 4.22;   68.30
16780;0.87; 4.20;   66.54
16790;0.87; 4.16;   64.30
16800;0.87; 4.02;   55.93
16810;0.87; 4.11;   60.91
16820;0.87; 4.17;   64.59
16830;0.87; 4.18;   65.37
16840;0.87; 4.18;   65.38
16850;0.87; 4.16;   63.99
16860;0.87; 4.18;   65.63
16870;0.87; 4.21;   67.56
16880;0.87; 4.07;   58.37
16890;0.87; 4.11;   61.19
16900;0.87; 4.16;   64.05
16910;0.87; 4.19;   66.22
16920;0.87; 4.21;   67.55
16930;0.87; 4.05;   57.55
16940;0.87; 4.14;   63.00
16950;0.87; 4.14;   63.08
16960;0.87; 4.09;   59.77
16970;0.87; 4.15;   63.51
16980;0.87; 4.24;   69.34
16990;0.87; 4.11;   60.76
17000;0.87; 4.17;   65.02
17010;0.87; 4.18;   65.28
17020;0.87; 4.16;   63.92
17030;0.87; 4.16;   64.16
17040;0.87; 4.19;   65.80
17050;0.87; 4.25;   70.11
17060;0.87; 4.26;   71.09
17070;0.87; 4.32;   75.54
17080;0.87; 4.22;   67.75
17090;0.87; 4.18;   65.05
17100;0.87; 4.13;   61.93
17110;0.87; 4.09;   59.88
17120;0.86; 4.17;   64.41
17130;0.86; 4.17;   64.96
17140;0.86; 4.23;   68.80
17150;0.86; 4.29;   72.64
17160;0.86; 4.24;   69.60
17170;0.86; 4.10;   60.41
17180;0.86; 4.16;   64.06
17190;0.86; 3.96;   52.62
17200;0.86; 4.11;   60.64
17210;0.86; 4.14;   63.03
17220;0.86; 4.14;   62.78
17230;0.86; 4.03;   56.29
17240;0.86; 4.13;   61.90
17250;0.86; 4.16;   64.36
17260;0.86; 4.26;   70.84
17270;0.86; 4.17;   64.96
17280;0.86; 4.08;   58.92
17290;0.86; 4.11;   60.90
17300;0.86; 4.11;   60.75
17310;0.86; 4.04;   56.61
17320;0.86; 4.11;   60.82
17330;0.86; 4.17;   64.49
17340;0.86; 4.18;   65.50
17350;0.86; 4.17;   65.03
17360;0.86; 4.09;   59.79
17370;0.86; 4.01;   55.07
17380;0.86; 4.03;   56.04
17390;0.86; 4.09;   60.02
17400;0.86; 4.10;   60.62
17410;0.86; 4.10;   60.53
17420;0.86; 4.11;   61.23
17430;0.86; 4.03;   56.48
17440;0.86; 4.19;   66.06
17450;0.86; 4.16;   64.37
17460;0.86; 4.11;   60.70
17470;0.86; 4.05;   57.26
17480;0.86; 4.13;   62.32
17490;0.86; 4.11;   60.90
17500;0.86; 4.15;   63.40
17510;0.86; 4.05;   57.33
17520;0.85; 4.00;   54.58
17530;0.85; 4.01;   55.26
17540;0.85; 4.07;   58.70
17550;0.85; 4.20;   66.67
17560;0.85; 4.05;   57.54
17570;0.85; 4.02;   55.90
17580;0.85; 4.13;   62.06
17590;0.85; 4.14;   62.70
17600;0.85; 4.04;   56.65
17610;0.85; 4.20;   66.66
17620;0.85; 4.16;   63.84
17630;0.85; 4.08;   59.38
17640;0.85; 4.08;   58.96
17650;0.85; 4.02;   55.62
17660;0.85; 4.03;   56.15
17670;0.85; 4.13;   62.46
17680;0.85; 4.12;   61.67
17690;0.85; 4.09;   59.51
17700;0.85; 4.06;   57.95
17710;0.85; 3.95;   52.18
17720;0.85; 4.00;   54.66
17730;0.85; 3.88;   48.61
17740;0.85; 3.94;   51.45
17750;0.85; 4.10;   60.36
17760;0.85; 4.02;   55.78
17770;0.85; 4.10;   60.47
17780;0.85; 4.08;   58.99
17790;0.85; 4.21;   67.46
17800;0.85; 4.04;   57.07
17810;0.85; 4.10;   60.43
17820;0.85; 4.08;   58.97
17830;0.85; 4.16;   64.08
17840;0.85; 3.96;   52.59
17850;0.85; 4.02;   55.92
17860;0.85; 4.13;   62.47
17870;0.85; 4.01;   55.29
17880;0.85; 4.20;   66.45
17890;0.85; 4.26;   70.84
17900;0.85; 4.03;   56.30
17910;0.85; 4.07;   58.82
17920;0.85; 4.05;   57.13
17930;0.84; 4.10;   60.05
17940;0.84; 4.20;   66.88
17950;0.84; 4.09;   59.54
17960;0.84; 4.01;   55.34
17970;0.84; 4.04;   57.04
17980;0.84; 4.10;   60.16
17990;0.84; 4.02;   55.52
18000;0.84; 4.14;   62.80
18010;0.84; 4.12;   61.81
18020;0.84; 4.13;   62.44
18030;0.84; 4.12;   61.82
18040;0.84; 4.09;   59.80
18050;0.84; 4.02;   55.88
18060;0.84; 4.04;   56.64
18080;0.84; 4.50;   90.05
18090;0.84; 4.09;   59.53
18100;0.84; 4.12;   61.84
18110;0.84; 4.13;   62.33
18120;0.84; 4.12;   61.28
18130;0.84; 4.10;   60.31
18140;0.84; 4.02;   55.95
18150;0.84; 4.15;   63.35
18160;0.84; 4.17;   64.90
18170;0.84; 4.16;   64.19
18180;0.84; 4.12;   61.67
18190;0.84; 4.00;   54.66
18200;0.84; 4.06;   58.02
18210;0.84; 4.13;   61.94
18220;0.84; 4.12;   61.53
18230;0.84; 4.13;   62.16
18240;0.84; 4.10;   60.13
18250;0.84; 4.16;   64.15
18260;0.84; 4.15;   63.48
18270;0.84; 4.02;   55.53
18280;0.84; 4.08;   58.96
18290;0.84; 4.11;   60.95
18300;0.84; 4.16;   63.76
18310;0.84; 4.17;   64.96
18320;0.84; 4.01;   55.09
18330;0.84; 4.11;   60.88
18340;0.84; 4.12;   61.41
18350;0.84; 4.05;   57.24
18360;0.84; 4.12;   61.69
18370;0.83; 4.18;   65.30
18380;0.83; 4.07;   58.38
18390;0.83; 4.13;   62.06
18400;0.83; 4.13;   62.10
18410;0.83; 4.12;   61.67
18420;0.83; 4.11;   60.76
18430;0.83; 4.14;   62.97
18440;0.83; 4.21;   67.28
18450;0.83; 4.22;   67.75
18460;0.83; 4.26;   70.88
18470;0.83; 4.15;   63.73
18480;0.83; 4.11;   60.92
18490;0.83; 4.09;   60.03
18500;0.83; 4.06;   58.07
18510;0.83; 4.11;   61.23
18520;0.83; 4.14;   62.69
18530;0.83; 4.18;   65.47
18540;0.83; 4.25;   70.25
18550;0.83; 4.20;   66.77
18560;0.83; 4.06;   58.25
18570;0.83; 4.11;   60.99
18580;0.83; 3.95;   51.75
18590;0.83; 4.06;   58.02
18600;0.83; 4.10;   60.34
18610;0.83; 4.10;   60.16
18620;0.83; 4.00;   54.66
18630;0.83; 4.07;   58.43
18640;0.83; 4.12;   61.61
18650;0.83; 4.22;   68.10
18660;0.83; 4.14;   62.76
18670;0.83; 4.05;   57.24
18680;0.83; 4.07;   58.81
18690;0.83; 4.06;   58.00
18700;0.83; 3.99;   54.07
18710;0.83; 4.06;   58.19
18720;0.83; 4.11;   60.79
18730;0.83; 4.12;   61.85
18740;0.83; 4.14;   62.53
18750;0.83; 4.05;   57.30
18760;0.83; 3.98;   53.66
18770;0.83; 3.98;   53.50
18780;0.83; 4.05;   57.32
18790;0.83; 4.06;   57.81
18800;0.83; 4.06;   57.88
18810;0.82; 4.06;   58.01
18820;0.82; 4.01;   54.95
18830;0.82; 4.15;   63.61
18840;0.82; 4.14;   62.65
18850;0.82; 4.06;   58.14
18860;0.82; 4.00;   54.81
18870;0.82; 4.12;   61.46
18880;0.82; 4.08;   58.89
18890;0.82; 4.10;   60.60
18900;0.82; 4.03;   56.04
18910;0.82; 3.96;   52.39
18920;0.82; 3.98;   53.27
18930;0.82; 4.04;   56.66
18940;0.82; 4.15;   63.24
18950;0.82; 4.01;   55.17
18960;0.82; 3.97;   53.19
18970;0.82; 4.09;   59.62
18980;0.82; 4.11;   60.64
18990;0.82; 4.00;   54.71
19000;0.82; 4.16;   63.89
19010;0.82; 4.11;   61.20
19020;0.82; 4.05;   57.46
19030;0.82; 4.04;   56.89
19040;0.82; 3.97;   53.07
19050;0.82; 4.00;   54.79
19060;0.82; 4.09;   59.78
19070;0.82; 4.09;   59.71
19080;0.82; 4.05;   57.59
19090;0.82; 4.02;   55.43
19100;0.82; 3.92;   50.57
19110;0.82; 3.96;   52.66
19120;0.82; 3.85;   46.79
19130;0.82; 3.91;   49.86
19140;0.82; 4.07;   58.68
19150;0.82; 3.99;   53.81
19160;0.82; 4.07;   58.60
19170;0.82; 4.05;   57.32
19180;0.82; 4.16;   63.87
19190;0.82; 4.00;   54.54
19200;0.82; 4.06;   57.98
19210;0.82; 4.03;   56.30
19220;0.82; 4.13;   62.48
19230;0.82; 3.92;   50.54
19240;0.82; 4.00;   54.37
19250;0.82; 4.08;   59.17
19260;0.82; 3.97;   52.74
19270;0.82; 4.15;   63.30
19280;0.81; 4.21;   67.57
19290;0.81; 3.98;   53.78
19300;0.81; 4.03;   56.43
19310;0.81; 4.01;   54.99
19320;0.81; 4.05;   57.24
19330;0.81; 4.17;   64.53
19340;0.81; 4.05;   57.50
19350;0.81; 3.97;   53.05
19360;0.81; 4.01;   54.91
19370;0.81; 4.05;   57.20
19380;0.81; 3.97;   52.85
19390;0.81; 4.09;   60.02
19400;0.81; 4.08;   59.30
19410;0.81; 4.08;   59.18
19420;0.81; 4.07;   58.71
19430;0.81; 4.06;   57.99
19440;0.81; 3.97;   53.03
19450;0.81; 4.00;   54.82
19470;0.81; 4.47;   87.45
19480;0.81; 4.05;   57.23
19490;0.81; 4.08;   59.40
19500;0.81; 4.09;   59.45
19510;0.81; 4.08;   59.01
19520;0.81; 4.07;   58.39
19530;0.81; 3.99;   54.05
19540;0.81; 4.12;   61.50
19550;0.81; 4.14;   62.77
19560;0.81; 4.11;   61.07
19570;0.81; 4.07;   58.60
19580;0.81; 3.94;   51.67
19590;0.81; 4.01;   55.13
19600;0.81; 4.08;   58.97
19610;0.81; 4.09;   59.54
19620;0.81; 4.12;   61.52
19630;0.81; 4.07;   58.31
19640;0.81; 4.12;   61.44
19650;0.81; 4.11;   61.18
19660;0.81; 3.97;   52.97
19670;0.81; 4.03;   56.07
19680;0.81; 4.07;   58.80
19690;0.81; 4.11;   61.05
19700;0.81; 4.11;   61.08
19710;0.81; 3.98;   53.26
19720;0.81; 4.07;   58.74
19730;0.81; 4.07;   58.51
19740;0.81; 4.01;   55.08
19750;0.81; 4.08;   59.33
19760;0.80; 4.14;   63.05
19770;0.80; 4.01;   55.30
19780;0.80; 4.09;   59.63
19790;0.80; 4.09;   59.56
19800;0.80; 4.07;   58.63
19810;0.80; 4.06;   58.14
19820;0.80; 4.10;   60.58
19830;0.80; 4.18;   65.05
19840;0.80; 4.19;   65.85
19850;0.80; 4.23;   68.71
19860;0.80; 4.12;   61.40
19870;0.80; 4.06;   58.15
19880;0.80; 4.05;   57.38
19890;0.80; 4.01;   55.26
19900;0.80; 4.09;   59.45
19910;0.80; 4.10;   60.22
19920;0.80; 4.14;   62.73
19930;0.80; 4.21;   67.40
19940;0.80; 4.16;   64.22
19950;0.80; 4.03;   56.40
19960;0.80; 4.09;   59.83
19970;0.80; 3.90;   49.52
19980;0.80; 4.02;   55.48
19990;0.80; 4.06;   57.79
20000;0.80; 4.03;   56.53
20010;0.80; 3.96;   52.54
20020;0.80; 4.04;   56.70
20030;0.80; 4.09;   59.60
20040;0.80; 4.17;   64.82
20050;0.80; 4.10;   60.17
20060;0.80; 4.00;   54.68
20070;0.80; 4.02;   55.78
20080;0.80; 4.02;   55.94
20090;0.80; 3.96;   52.45
20100;0.80; 4.02;   55.81
20110;0.80; 4.06;   58.05
20120;0.80; 4.10;   60.41
20130;0.80; 4.08;   59.41
20140;0.80; 4.01;   54.89
20150;0.80; 3.96;   52.33
20160;0.80; 3.94;   51.41
20170;0.80; 4.02;   55.69
20180;0.80; 4.02;   55.59
20190;0.80; 4.01;   55.15
20200;0.80; 4.01;   55.07
20210;0.80; 3.95;   52.02
20220;0.80; 4.11;   60.66
20230;0.80; 4.10;   60.47
20240;0.80; 4.02;   55.97
20250;0.80; 3.96;   52.50
20260;0.79; 4.07;   58.64
20270;0.79; 4.03;   56.41
20280;0.79; 4.05;   57.56
20290;0.79; 3.97;   53.20
20300;0.79; 3.92;   50.56
20310;0.79; 3.93;   51.16
20320;0.79; 4.00;   54.42
20330;0.79; 4.11;   61.04
20340;0.79; 3.97;   53.24
20350;0.79; 3.93;   50.78
20360;0.79; 4.06;   58.21
20370;0.79; 4.06;   57.93
20380;0.79; 3.97;   53.25
20390;0.79; 4.12;   61.70
20400;0.79; 4.07;   58.46
20410;0.79; 4.01;   54.92
20420;0.79; 4.00;   54.87
20430;0.79; 3.95;   51.77
20440;0.79; 3.96;   52.50
20450;0.79; 4.05;   57.51
20460;0.79; 4.06;   57.70
20470;0.79; 4.02;   55.72
20480;0.79; 3.98;   53.44
20490;0.79; 3.88;   48.18
20500;0.79; 3.92;   50.63
20510;0.79; 3.82;   45.51
20520;0.79; 3.86;   47.34
20530;0.79; 4.03;   56.28
20540;0.79; 3.95;   51.77
20550;0.79; 4.03;   56.12
20560;0.79; 4.00;   54.73
20570;0.79; 4.13;   62.00
20580;0.79; 3.98;   53.40
20590;0.79; 4.02;   55.55
20600;0.79; 4.01;   54.91
20610;0.79; 4.09;   59.96
20620;0.79; 3.90;   49.32
20630;0.79; 3.95;   51.88
20640;0.79; 4.05;   57.25
20650;0.79; 3.93;   50.87
20660;0.79; 4.12;   61.80
20670;0.79; 4.20;   66.53
20680;0.79; 3.95;   51.91
20690;0.79; 3.99;   54.17
20700;0.79; 3.98;   53.63
20710;0.79; 4.01;   55.21
20720;0.79; 4.12;   61.44
20730;0.79; 4.02;   55.56
20740;0.79; 3.94;   51.41
20750;0.79; 3.96;   52.39
20760;0.79; 4.01;   55.28
20770;0.79; 3.95;   51.93
20780;0.78; 4.05;   57.11
20790;0.78; 4.04;   56.95
20800;0.78; 4.05;   57.57
20810;0.78; 4.04;   56.66
20820;0.78; 4.03;   56.42
20830;0.78; 3.94;   51.35
20840;0.78; 3.97;   52.99
20860;0.78; 4.42;   83.00
20870;0.78; 4.02;   55.61
20880;0.78; 4.05;   57.58
20890;0.78; 4.05;   57.39
20900;0.78; 4.03;   56.37
20910;0.78; 4.05;   57.16
20920;0.78; 3.95;   51.72
20930;0.78; 4.08;   59.41
20940;0.78; 4.09;   59.88
20950;0.78; 4.08;   59.12
20960;0.78; 4.04;   56.62
20970;0.78; 3.92;   50.17
20980;0.78; 3.98;   53.76
20990;0.78; 4.05;   57.23
21000;0.78; 4.04;   57.03
21010;0.78; 4.05;   57.19
21020;0.78; 4.03;   56.24
21030;0.78; 4.06;   58.18
21040;0.78; 4.08;   59.06
21050;0.78; 3.95;   52.02
21060;0.78; 3.99;   53.86
21070;0.78; 4.04;   56.69
21080;0.78; 4.09;   59.72
21090;0.78; 4.08;   59.42
21100;0.78; 3.93;   51.01
21110;0.78; 4.04;   56.87
21120;0.78; 4.03;   56.30
21130;0.78; 3.99;   53.82
21140;0.78; 4.04;   56.59
21150;0.78; 4.11;   61.01
21160;0.78; 3.99;   54.04
21170;0.78; 4.04;   57.11
21180;0.78; 4.06;   57.73
21190;0.78; 4.05;   57.38
21200;0.78; 4.03;   56.22
21210;0.78; 4.06;   57.98
21220;0.78; 4.13;   62.48
21230;0.78; 4.14;   62.98
21240;0.78; 4.18;   65.45
21250;0.78; 4.08;   59.03
21260;0.78; 4.04;   56.59
21270;0.78; 4.01;   55.37
21280;0.78; 3.99;   53.93
21290;0.78; 4.05;   57.51
21300;0.78; 4.05;   57.63
21310;0.78; 4.11;   61.06
21320;0.77; 4.16;   64.00
21330;0.77; 4.14;   62.55
21340;0.77; 3.99;   54.25
21350;0.77; 4.06;   57.78
21360;0.77; 3.87;   48.18
21370;0.77; 4.00;   54.42
21380;0.77; 4.01;   55.28
21390;0.77; 4.01;   55.09
21400;0.77; 3.92;   50.27
21410;0.77; 4.01;   54.95
21420;0.77; 4.06;   57.79
21430;0.77; 4.12;   61.81
21440;0.77; 4.07;   58.72
21450;0.77; 3.97;   52.85
21460;0.77; 3.98;   53.58
21470;0.77; 3.99;   53.98
21480;0.77; 3.92;   50.41
21490;0.77; 3.98;   53.65
21500;0.77; 4.03;   55.99
21510;0.77; 4.07;   58.39
21520;0.77; 4.05;   57.11
21530;0.77; 3.98;   53.38
21540;0.77; 3.92;   50.17
21550;0.77; 3.91;   50.08
21560;0.77; 3.97;   52.95
21570;0.77; 3.99;   54.03
21580;0.77; 3.99;   54.15
21590;0.77; 4.00;   54.59
21600;0.77; 3.92;   50.28
21610;0.77; 4.07;   58.46
21620;0.77; 4.06;   58.17
21630;0.77; 3.99;   53.91
21640;0.77; 3.94;   51.59
21650;0.77; 4.02;   55.74
21660;0.77; 4.00;   54.73
21670;0.77; 4.03;   56.05
21680;0.77; 3.96;   52.41
21690;0.77; 3.89;   48.80
21700;0.77; 3.89;   48.76
21710;0.77; 3.96;   52.24
21720;0.77; 4.08;   59.29
21730;0.77; 3.94;   51.49
21740;0.77; 3.91;   49.74
21750;0.77; 4.02;   55.88
21760;0.77; 4.02;   55.76
21770;0.77; 3.93;   50.94
21780;0.77; 4.06;   57.98
21790;0.77; 4.02;   55.84
21800;0.77; 3.99;   53.90
21810;0.77; 3.96;   52.47
21820;0.77; 3.90;   49.39
21830;0.77; 3.92;   50.59
21840;0.77; 4.02;   55.63
21850;0.77; 4.01;   55.35
21860;0.77; 3.97;   52.89
21870;0.77; 3.96;   52.44
21880;0.76; 3.85;   47.22
21890;0.76; 3.89;   48.97
21900;0.76; 3.78;   44.01
21910;0.76; 3.84;   46.36
21920;0.76; 4.02;   55.45
21930;0.76; 3.92;   50.35
21940;0.76; 3.98;   53.65
21950;0.76; 3.96;   52.49
21960;0.76; 4.09;   60.03
21970;0.76; 3.94;   51.53
21980;0.76; 3.98;   53.51
21990;0.76; 3.96;   52.38
22000;0.76; 4.07;   58.28
22010;0.76; 3.85;   47.03
22020;0.76; 3.92;   50.55
22030;0.76; 4.02;   55.62
22040;0.76; 3.90;   49.24
22050;0.76; 4.07;   58.79
22060;0.76; 4.14;   63.11
22070;0.76; 3.91;   49.93
22080;0.76; 3.96;   52.57
22090;0.76; 3.94;   51.61
22100;0.76; 3.97;   52.88
22110;0.76; 4.08;   59.25
22120;0.76; 3.98;   53.66
22130;0.76; 3.90;   49.42
22140;0.76; 3.94;   51.23
22150;0.76; 3.99;   54.01
22160;0.76; 3.91;   49.90
22170;0.76; 4.03;   55.99
22180;0.76; 4.00;   54.49
22190;0.76; 4.01;   55.24
22200;0.76; 4.02;   55.80
22210;0.76; 3.99;   54.09
22220;0.76; 3.90;   49.50
22230;0.76; 3.95;   51.82
22250;0.76; 4.37;   79.32
22260;0.76; 3.99;   53.91
22270;0.76; 4.01;   55.31
22280;0.76; 4.03;   56.00
22290;0.76; 3.99;   54.17
22300;0.76; 4.00;   54.40
22310;0.76; 3.91;   49.96
22320;0.76; 4.03;   56.37
22330;0.76; 4.05;   57.52
22340;0.76; 4.03;   56.45
22350;0.76; 4.01;   55.24
22360;0.76; 3.87;   48.05
22370;0.76; 3.94;   51.25
22380;0.76; 4.02;   55.49
22390;0.76; 4.02;   55.74
22400;0.76; 4.03;   56.10
22410;0.76; 3.98;   53.54
22420;0.76; 4.03;   56.36
22430;0.76; 4.03;   56.29
22440;0.76; 3.91;   50.08
22450;0.76; 3.96;   52.46
22460;0.75; 4.00;   54.44
22470;0.75; 4.04;   56.83
22480;0.75; 4.05;   57.33
22490;0.75; 3.90;   49.48
22500;0.75; 4.00;   54.58
22510;0.75; 4.00;   54.64
22520;0.75; 3.95;   51.79
22530;0.75; 4.01;   54.89
22540;0.75; 4.07;   58.70
22550;0.75; 3.95;   51.96
22560;0.75; 4.00;   54.51
22570;0.75; 4.01;   55.18
22580;0.75; 4.00;   54.59
22590;0.75; 4.00;   54.51
22600;0.75; 4.02;   55.52
22610;0.75; 4.08;   59.39
22620;0.75; 4.10;   60.53
22630;0.75; 4.14;   62.80
22640;0.75; 4.04;   56.80
22650;0.75; 4.00;   54.76
22660;0.75; 3.97;   53.12
22670;0.75; 3.95;   51.77
22680;0.75; 4.01;   55.39
22690;0.75; 4.03;   56.09
22700;0.75; 4.08;   59.03
22710;0.75; 4.12;   61.40
22720;0.75; 4.09;   59.55
22730;0.75; 3.97;   52.77
22740;0.75; 4.03;   56.10
22750;0.75; 3.84;   46.58
22760;0.75; 3.95;   51.71
22770;0.75; 3.98;   53.67
22780;0.75; 3.98;   53.62
22790;0.75; 3.90;   49.43
22800;0.75; 3.97;   53.09
22810;0.75; 4.01;   55.34
22820;0.75; 4.09;   59.96
22830;0.75; 4.04;   56.58
22840;0.75; 3.92;   50.21
22850;0.75; 3.94;   51.55
22860;0.75; 3.96;   52.46
22870;0.75; 3.89;   49.05
22880;0.75; 3.95;   51.87
22890;0.75; 3.99;   54.17
22900;0.75; 4.03;   56.26
22910;0.75; 4.03;   56.15
22920;0.75; 3.94;   51.30
22930;0.75; 3.87;   48.01
22940;0.75; 3.87;   48.01
22950;0.75; 3.96;   52.26
22960;0.75; 3.96;   52.54
22970;0.75; 3.95;   51.92
22980;0.75; 3.96;   52.21
22990;0.75; 3.89;   48.88
23000;0.75; 4.04;   56.99
23010;0.75; 4.03;   56.30
23020;0.75; 3.97;   52.91
23030;0.75; 3.89;   49.09
23040;0.75; 4.00;   54.72
23050;0.75; 3.97;   52.93
23060;0.75; 3.99;   54.24
23070;0.74; 3.92;   50.17
23080;0.74; 3.87;   48.09
23090;0.74; 3.87;   47.71
23100;0.74; 3.92;   50.52
23110;0.74; 4.04;   56.85
23120;0.74; 3.90;   49.24
23130;0.74; 3.86;   47.42
23140;0.74; 3.99;   54.24
23150;0.74; 3.98;   53.55
23160;0.74; 3.90;   49.63
23170;0.74; 4.04;   56.91
23180;0.74; 4.00;   54.43
23190;0.74; 3.95;   52.16
23200;0.74; 3.93;   50.95
23210;0.74; 3.87;   48.03
23220;0.74; 3.88;   48.66
23230;0.74; 3.98;   53.74
23240;0.74; 3.97;   53.18
23250;0.74; 3.94;   51.60
23260;0.74; 3.91;   50.01
23270;0.74; 3.82;   45.51
23280;0.74; 3.87;   47.91
23290;0.74; 3.75;   42.69
23300;0.74; 3.81;   44.93
23310;0.74; 3.99;   54.31
23320;0.74; 3.88;   48.52
23330;0.74; 3.96;   52.61
23340;0.74; 3.94;   51.44
23350;0.74; 4.05;   57.53
23360;0.74; 3.91;   49.70
23370;0.74; 3.94;   51.58
23380;0.74; 3.93;   50.69
23390;0.74; 4.02;   55.97
23400;0.74; 3.82;   45.76
23410;0.74; 3.89;   48.67
23420;0.74; 3.97;   53.16
23430;0.74; 3.86;   47.43
23440;0.74; 4.04;   56.68
23450;0.74; 4.12;   61.71
23460;0.74; 3.88;   48.49
23470;0.74; 3.92;   50.25
23480;0.74; 3.92;   50.22
23490;0.74; 3.93;   51.07
23500;0.74; 4.04;   56.91
23510;0.74; 3.95;   52.03
23520;0.74; 3.88;   48.35
23530;0.74; 3.91;   49.83
23540;0.74; 3.95;   51.92
23550;0.74; 3.87;   48.13
23560;0.74; 3.98;   53.60
23570;0.74; 3.98;   53.29
23580;0.74; 3.98;   53.43
23590;0.74; 3.97;   52.80
23600;0.74; 3.95;   52.01
23610;0.74; 3.88;   48.29
23620;0.74; 3.92;   50.33
23640;0.74; 4.34;   76.97
23650;0.74; 3.96;   52.20
23660;0.74; 3.99;   53.94
23670;0.74; 3.98;   53.46
23680;0.74; 3.98;   53.61
23690;0.74; 3.96;   52.32
23700;0.73; 3.89;   48.71
23710;0.73; 4.02;   55.79
23720;0.73; 4.04;   56.63
23730;0.73; 4.01;   55.34
23740;0.73; 3.97;   52.83
23750;0.73; 3.83;   46.26
23760;0.73; 3.92;   50.37
23770;0.73; 3.98;   53.47
23780;0.73; 3.98;   53.42
23790;0.73; 3.99;   53.88
23800;0.73; 3.97;   52.75
23810;0.73; 4.00;   54.53
23820;0.73; 4.00;   54.77
23830;0.73; 3.88;   48.20
23840;0.73; 3.93;   50.77
23850;0.73; 3.96;   52.22
23860;0.73; 4.01;   55.17
23870;0.73; 4.00;   54.59
23880;0.73; 3.87;   47.96
23890;0.73; 3.98;   53.49
23900;0.73; 3.98;   53.34
23910;0.73; 3.92;   50.20
23920;0.73; 3.97;   53.08
23930;0.73; 4.02;   55.91
23940;0.73; 3.91;   49.90
23950;0.73; 3.98;   53.49
23960;0.73; 3.98;   53.67
23970;0.73; 3.97;   53.12
23980;0.73; 3.97;   53.11
23990;0.73; 3.98;   53.71
24000;0.73; 4.05;   57.64
24010;0.73; 4.08;   59.01
24020;0.73; 4.10;   60.37
24030;0.73; 4.01;   55.38
24040;0.73; 3.97;   52.82
24050;0.73; 3.95;   51.97
24060;0.73; 3.93;   50.98
24070;0.73; 3.97;   53.03
24080;0.73; 3.99;   54.32
24090;0.73; 4.04;   57.06
24100;0.73; 4.10;   60.09
24110;0.73; 4.05;   57.25
24120;0.73; 3.92;   50.50
24130;0.73; 3.99;   54.00
24140;0.73; 3.81;   44.93
24150;0.73; 3.92;   50.53
24160;0.73; 3.93;   51.14
24170;0.73; 3.93;   51.01
24180;0.73; 3.84;   46.72
24190;0.73; 3.95;   51.74
24200;0.73; 3.98;   53.62
24210;0.73; 4.06;   57.89
24220;0.73; 4.02;   55.48
24230;0.73; 3.90;   49.40
24240;0.73; 3.90;   49.38
